journal,year,n,N,label,lab,nd
processes,2020,61,6706,"2020
(6706)",NA,>1/week
processes,2021,111,10480,"2021
(10480)",NA,>1/week
processes,2022,485,37465,"2022
(37465)",processes 485,>1/day
remotesensing,2017,35,1467,"2017
(1467)",NA,>1/month
remotesensing,2018,96,2453,"2018
(2453)",NA,>1/week
remotesensing,2019,145,4190,"2019
(4190)",NA,>1/week
remotesensing,2020,197,6706,"2020
(6706)",NA,>1/week
remotesensing,2021,244,10480,"2021
(10480)",NA,>1/week
remotesensing,2022,792,37465,"2022
(37465)",remotesensing 792,>1/day
sensors,2017,112,1467,"2017
(1467)",NA,>1/week
sensors,2018,172,2453,"2018
(2453)",NA,>1/week
sensors,2019,261,4190,"2019
(4190)",NA,>1/week
sensors,2020,294,6706,"2020
(6706)",NA,>1/week
sensors,2021,316,10480,"2021
(10480)",NA,>1/week
sensors,2022,1520,37465,"2022
(37465)",sensors 1520,>1/day
separations,2017,2,1467,"2017
(1467)",NA,<1/month
separations,2018,2,2453,"2018
(2453)",NA,<1/month
separations,2019,4,4190,"2019
(4190)",NA,<1/month
separations,2020,2,6706,"2020
(6706)",NA,<1/month
separations,2021,6,10480,"2021
(10480)",NA,<1/month
separations,2022,89,37465,"2022
(37465)",separations 89,>1/week
sustainability,2017,82,1467,"2017
(1467)",NA,>1/week
sustainability,2018,175,2453,"2018
(2453)",NA,>1/week
sustainability,2019,233,4190,"2019
(4190)",NA,>1/week
sustainability,2020,410,6706,"2020
(6706)",NA,>1/day
sustainability,2021,687,10480,"2021
(10480)",NA,>1/day
sustainability,2022,2174,37465,"2022
(37465)",sustainability 2174,>5/day
symmetry,2017,18,1467,"2017
(1467)",NA,>1/month
symmetry,2018,23,2453,"2018
(2453)",NA,>1/month
symmetry,2019,45,4190,"2019
(4190)",NA,>1/month
symmetry,2020,75,6706,"2020
(6706)",NA,>1/week
symmetry,2021,107,10480,"2021
(10480)",NA,>1/week
symmetry,2022,527,37465,"2022
(37465)",symmetry 527,>1/day
systems,2017,3,1467,"2017
(1467)",NA,<1/month
systems,2018,3,2453,"2018
(2453)",NA,<1/month
systems,2019,2,4190,"2019
(4190)",NA,<1/month
systems,2020,3,6706,"2020
(6706)",NA,<1/month
systems,2021,5,10480,"2021
(10480)",NA,<1/month
systems,2022,17,37465,"2022
(37465)",systems 17,>1/month
tomography,2017,0,1467,"2017
(1467)",NA,<1/month
tomography,2018,0,2453,"2018
(2453)",NA,<1/month
tomography,2019,0,4190,"2019
(4190)",NA,<1/month
tomography,2020,0,6706,"2020
(6706)",NA,<1/month
tomography,2021,0,10480,"2021
(10480)",NA,<1/month
tomography,2022,14,37465,"2022
(37465)",tomography 14,>1/month
toxics,2017,2,1467,"2017
(1467)",NA,<1/month
toxics,2018,5,2453,"2018
(2453)",NA,<1/month
toxics,2019,4,4190,"2019
(4190)",NA,<1/month
toxics,2020,4,6706,"2020
(6706)",NA,<1/month
toxics,2021,14,10480,"2021
(10480)",NA,>1/month
toxics,2022,134,37465,"2022
(37465)",toxics 134,>1/week
toxins,2017,15,1467,"2017
(1467)",NA,>1/month
toxins,2018,24,2453,"2018
(2453)",NA,>1/month
toxins,2019,41,4190,"2019
(4190)",NA,>1/month
toxins,2020,48,6706,"2020
(6706)",NA,>1/month
toxins,2021,71,10480,"2021
(10480)",NA,>1/week
toxins,2022,131,37465,"2022
(37465)",toxins 131,>1/week
tropicalmed,2017,3,1467,"2017
(1467)",NA,<1/month
tropicalmed,2018,10,2453,"2018
(2453)",NA,<1/month
tropicalmed,2019,5,4190,"2019
(4190)",NA,<1/month
tropicalmed,2020,8,6706,"2020
(6706)",NA,<1/month
tropicalmed,2021,9,10480,"2021
(10480)",NA,<1/month
tropicalmed,2022,55,37465,"2022
(37465)",tropicalmed 55,>1/week
universe,2017,5,1467,"2017
(1467)",NA,<1/month
universe,2018,6,2453,"2018
(2453)",NA,<1/month
universe,2019,13,4190,"2019
(4190)",NA,>1/month
universe,2020,11,6706,"2020
(6706)",NA,<1/month
universe,2021,31,10480,"2021
(10480)",NA,>1/month
universe,2022,103,37465,"2022
(37465)",universe 103,>1/week
vaccines,2017,3,1467,"2017
(1467)",NA,<1/month
vaccines,2018,6,2453,"2018
(2453)",NA,<1/month
vaccines,2019,9,4190,"2019
(4190)",NA,<1/month
vaccines,2020,25,6706,"2020
(6706)",NA,>1/month
vaccines,2021,59,10480,"2021
(10480)",NA,>1/week
vaccines,2022,234,37465,"2022
(37465)",vaccines 234,>1/week
vetsci,2017,5,1467,"2017
(1467)",NA,<1/month
vetsci,2018,5,2453,"2018
(2453)",NA,<1/month
vetsci,2019,5,4190,"2019
(4190)",NA,<1/month
vetsci,2020,3,6706,"2020
(6706)",NA,<1/month
vetsci,2021,4,10480,"2021
(10480)",NA,<1/month
vetsci,2022,103,37465,"2022
(37465)",vetsci 103,>1/week
viruses,2017,15,1467,"2017
(1467)",NA,>1/month
viruses,2018,37,2453,"2018
(2453)",NA,>1/month
viruses,2019,52,4190,"2019
(4190)",NA,>1/month
viruses,2020,67,6706,"2020
(6706)",NA,>1/week
viruses,2021,153,10480,"2021
(10480)",NA,>1/week
viruses,2022,327,37465,"2022
(37465)",viruses 327,>1/week
water,2017,47,1467,"2017
(1467)",NA,>1/month
water,2018,67,2453,"2018
(2453)",NA,>1/week
water,2019,119,4190,"2019
(4190)",NA,>1/week
water,2020,187,6706,"2020
(6706)",NA,>1/week
water,2021,226,10480,"2021
(10480)",NA,>1/week
water,2022,774,37465,"2022
(37465)",water 774,>1/day
