title,journal,yearfunded,articles,IF,ISSN
Journal of Functional Biomaterials,jfb,2010,974,4.901,"
2079-4983
"
Drones,drones,2017,942,5.532,"
2504-446X
"
Batteries,batteries,2015,817,5.938,"
2313-0105
"
Fishes,fishes,2016,776,3.17,"
2410-3888
"
Systems,systems,2013,773,2.895,"
2079-8954
"
Magnetochemistry,magnetochemistry,2015,705,3.336,"
2312-7481
"
Journal of Theoretical and Applied Electronic Commerce Research,jtaer,2006,650,5.318,"
0718-1876
"
Biomimetics,biomimetics,2016,627,3.743,"
2313-7673
"
Fire,fire,2018,581,2.726,"
2571-6255
"
Tomography,tomography,2015,580,3,"
2379-139X
"
Journal of Intelligence,jintelligence,2013,440,3.176,"
2079-3200
"
Actuators,actuators,2012,NA,2.523,"
2076-0825
"
Aerospace,aerospace,2014,NA,2.66,"
2226-4310
"
Agriculture,agriculture,2011,NA,3.408,"
2077-0472
"
Agronomy,agronomy,2011,NA,3.949,"
2073-4395
"
Animals,animals,2011,NA,3.231,"
2076-2615
"
Antibiotics,antibiotics,2012,NA,5.222,"
2079-6382
"
Antioxidants,antioxidants,2012,NA,7.675,"
2076-3921
"
Applied Sciences,applsci,2011,NA,2.838,"
2076-3417
"
Atmosphere,atmosphere,2010,NA,3.11,"
2073-4433
"
Axioms,axioms,2012,NA,1.824,"
2075-1680
"
Behavioral Sciences,behavsci,2011,NA,2.286,"
2076-328X
"
Bioengineering,bioengineering,2014,NA,5.046,"
2306-5354
"
Biology,biology,2012,NA,5.168,"
2079-7737
"
Biomedicines,biomedicines,2013,NA,4.757,"
2227-9059
"
Biomolecules,biomolecules,2011,NA,6.064,"
2218-273X
"
Biosensors,biosensors,2011,NA,5.743,"
2079-6374
"
Brain Sciences,brainsci,2011,NA,3.333,"
2076-3425
"
Buildings,buildings,2011,NA,3.324,"
2075-5309
"
Cancers,cancers,2009,NA,6.575,"
2072-6694
"
Catalysts,catalysts,2011,NA,4.501,"
2073-4344
"
Cells,cells,2012,NA,7.666,"
2073-4409
"
Chemosensors,chemosensors,2013,NA,4.229,"
2227-9040
"
Children,children,2014,NA,2.835,"
2227-9067
"
Coatings,coatings,2011,NA,3.236,"
2079-6412
"
Crystals,crystals,2011,NA,2.67,"
2073-4352
"
Current Issues in Molecular Biology,cimb,1999,NA,2.976,"
1467-3045
"
Current Oncology,curroncol,1994,NA,3.109,"
1718-7729
"
Diagnostics,diagnostics,2011,NA,3.992,"
2075-4418
"
